2025-11-07 20:38:57 [TASKMANAGER-UNKNOWN] {'id': 8, 'title': 'Consumer unificado ', 'completed': False}
2025-11-07 20:40:57 [TASKMANAGER-UNKNOWN] {'id': 9, 'title': 'consumidor unificado desta data especifica ', 'completed': False}
2025-11-07 21:08:03 [TASKMANAGER-COMPLETED] {'action': 'completed', 'id': 13, 'title': 'Quadragésimo quarto teste - 4', 'completed': True}
2025-11-07 21:08:09 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 13, 'title': 'Quadragésimo quarto teste - 4', 'completed': True}
2025-11-07 21:08:25 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 3, 'title': 'terceiro teste', 'completed': True}
2025-11-09 15:55:25 [TASKMANAGER-CREATED] {'action': 'created', 'id': 15, 'title': 'limpar a casa', 'completed': False}
2025-11-09 15:55:45 [TASKMANAGER-CREATED] {'action': 'created', 'id': 16, 'title': 'remover o lixo', 'completed': False}
2025-11-09 15:59:34 [TASKMANAGER-COMPLETED] {'action': 'completed', 'id': 16, 'title': 'remover o lixo', 'completed': True}
2025-11-09 16:00:04 [TASKMANAGER-COMPLETED] {'action': 'completed', 'id': 15, 'title': 'limpar a casa', 'completed': True}
2025-11-09 16:00:07 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 16, 'title': 'remover o lixo', 'completed': True}
2025-11-09 16:00:09 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 15, 'title': 'limpar a casa', 'completed': True}
2025-11-10 13:31:35 [TASKMANAGER-CREATED] {'action': 'created', 'id': 17, 'title': 'Contratar pedreiro', 'completed': False}
2025-11-10 13:31:56 [TASKMANAGER-CREATED] {'action': 'created', 'id': 18, 'title': 'comprar cimento', 'completed': False}
2025-11-10 13:32:20 [TASKMANAGER-CREATED] {'action': 'created', 'id': 19, 'title': 'comprar tijolos', 'completed': False}
2025-11-10 13:32:44 [TASKMANAGER-COMPLETED] {'action': 'completed', 'id': 18, 'title': 'comprar cimento', 'completed': True}
2025-11-10 13:32:54 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 19, 'title': 'comprar tijolos', 'completed': False}
2025-11-10 13:33:03 [TASKMANAGER-DELETED] {'action': 'deleted', 'id': 17, 'title': 'Contratar pedreiro', 'completed': False}
